slot_index,q_max,q_allotted,q_used,q_wasted,enqueues,dequeues,drops
862000,15000,15000,0,15000,0,0,0
863000,15000,15000,0,15000,2,2,0
864000,15000,15000,0,15000,0,0,0
865000,15000,15000,0,15000,3,3,0
866000,15000,15000,0,15000,1,1,0
867000,15000,15000,0,15000,1,1,0
868000,15000,15000,0,15000,1,1,0
869000,15000,15000,0,15000,0,0,0
870000,15000,15000,0,15000,0,0,0
871000,15000,15000,0,15000,0,0,0
872000,15000,15000,0,15000,1,1,0
873000,15000,15000,0,15000,0,0,0
874000,15000,15000,0,15000,2,2,0
875000,15000,15000,0,15000,3,3,0
876000,15000,15000,0,15000,2,2,0
877000,15000,15000,0,15000,2,2,0
878000,15000,15000,0,15000,1,1,0
879000,15000,15000,0,15000,0,0,0
880000,15000,15000,0,15000,0,0,0
881000,15000,15000,0,15000,4,4,0
882000,15000,15000,0,15000,1,1,0
883000,15000,15000,0,15000,1,1,0
884000,15000,15000,0,15000,0,0,0
885000,15000,15000,0,15000,3,3,0
886000,15000,15000,0,15000,1,1,0
887000,15000,15000,0,15000,0,0,0
888000,15000,15000,0,15000,0,0,0
889000,15000,15000,0,15000,0,0,0
890000,15000,15000,0,15000,1,1,0
891000,15000,15000,0,15000,0,0,0
892000,15000,15000,0,15000,0,0,0
893000,15000,15000,0,15000,1,1,0
894000,15000,15000,0,15000,1,1,0
895000,15000,15000,0,15000,2,2,0
896000,15000,15000,0,15000,1,1,0
897000,15000,15000,0,15000,0,0,0
898000,15000,15000,0,15000,1,1,0
899000,15000,15000,0,15000,1,1,0
900000,15000,15000,0,15000,4,4,0
901000,15000,15000,0,15000,0,0,0
902000,15000,15000,0,15000,1,1,0
903000,15000,15000,0,15000,1,1,0
904000,15000,15000,0,15000,1,1,0
905000,15000,15000,0,15000,2,2,0
906000,15000,15000,0,15000,2,2,0
907000,15000,15000,0,15000,0,0,0
908000,15000,15000,0,15000,1,1,0
909000,15000,15000,0,15000,2,2,0
910000,15000,15000,0,15000,1,1,0
911000,15000,15000,0,15000,3,3,0
912000,15000,15000,0,15000,1,1,0
913000,15000,15000,0,15000,0,0,0
914000,15000,15000,0,15000,0,0,0
915000,15000,15000,0,15000,1,1,0
916000,15000,15000,0,15000,0,0,0
917000,15000,15000,0,15000,1,1,0
918000,15000,15000,0,15000,3,3,0
919000,15000,15000,0,15000,2,2,0
920000,15000,15000,0,15000,0,0,0
921000,15000,15000,0,15000,2,2,0
922000,15000,15000,0,15000,2,2,0
923000,15000,15000,0,15000,1,1,0
924000,15000,15000,0,15000,1,1,0
925000,15000,15000,0,15000,0,0,0
926000,15000,15000,0,15000,1,1,0
927000,15000,15000,0,15000,1,1,0
928000,15000,15000,0,15000,1,1,0
929000,15000,15000,0,15000,0,0,0
930000,15000,15000,0,15000,2,2,0
931000,15000,15000,0,15000,1,1,0
932000,15000,15000,0,15000,0,0,0
933000,15000,15000,0,15000,1,1,0
934000,15000,15000,0,15000,0,0,0
935000,15000,15000,0,15000,1,1,0
936000,15000,15000,0,15000,0,0,0
937000,15000,15000,0,15000,1,1,0
938000,15000,15000,0,15000,1,1,0
939000,15000,15000,0,15000,0,0,0
940000,15000,15000,0,15000,0,0,0
941000,15000,15000,0,15000,0,0,0
942000,15000,15000,0,15000,2,2,0
943000,15000,15000,0,15000,1,1,0
944000,15000,15000,1,14999,1,0,0
945000,15000,15000,0,15000,1,2,0
946000,15000,15000,0,15000,1,1,0
947000,15000,15000,0,15000,1,1,0
948000,15000,15000,0,15000,1,1,0
949000,15000,15000,0,15000,0,0,0
950000,15000,15000,0,15000,0,0,0
951000,15000,15000,0,15000,0,0,0
952000,15000,15000,0,15000,1,1,0
953000,15000,15000,0,15000,3,3,0
954000,15000,15000,0,15000,2,2,0
955000,15000,15000,0,15000,0,0,0
956000,15000,15000,0,15000,1,1,0
957000,15000,15000,0,15000,1,1,0
958000,15000,15000,0,15000,1,1,0
959000,15000,15000,0,15000,1,1,0
960000,15000,15000,0,15000,1,1,0
961000,15000,15000,0,15000,1,1,0
962000,15000,15000,0,15000,1,1,0
963000,15000,15000,0,15000,0,0,0
964000,15000,15000,0,15000,1,1,0
965000,15000,15000,0,15000,0,0,0
966000,15000,15000,0,15000,0,0,0
967000,15000,15000,0,15000,1,1,0
968000,15000,15000,0,15000,1,1,0
969000,15000,15000,0,15000,0,0,0
970000,15000,15000,0,15000,0,0,0
971000,15000,15000,1,14999,2,1,0
972000,15000,15000,0,15000,2,3,0
973000,15000,15000,0,15000,0,0,0
974000,15000,15000,0,15000,2,2,0
975000,15000,15000,0,15000,1,1,0
976000,15000,15000,0,15000,0,0,0
977000,15000,15000,0,15000,0,0,0
978000,15000,15000,0,15000,0,0,0
979000,15000,15000,0,15000,1,1,0
980000,15000,15000,0,15000,1,1,0
981000,15000,15000,0,15000,1,1,0
982000,15000,15000,0,15000,2,2,0
983000,15000,15000,0,15000,0,0,0
984000,15000,15000,0,15000,0,0,0
985000,15000,15000,0,15000,2,2,0
986000,15000,15000,0,15000,1,1,0
987000,15000,15000,0,15000,1,1,0
988000,15000,15000,0,15000,1,1,0
989000,15000,15000,0,15000,0,0,0
990000,15000,15000,0,15000,1,1,0
991000,15000,15000,0,15000,2,2,0
992000,15000,15000,0,15000,1,1,0
993000,15000,15000,0,15000,2,2,0
994000,15000,15000,0,15000,0,0,0
995000,15000,15000,0,15000,0,0,0
996000,15000,15000,0,15000,0,0,0
997000,15000,15000,0,15000,1,1,0
998000,15000,15000,0,15000,1,1,0
999000,15000,15000,0,15000,0,0,0
1000000,15000,15000,0,15000,2,2,0
1001000,15000,15000,0,15000,1,1,0
1002000,15000,15000,0,15000,0,0,0
1003000,15000,15000,0,15000,1,1,0
1004000,15000,15000,0,15000,0,0,0
1005000,15000,15000,0,15000,0,0,0
1006000,15000,15000,0,15000,1,1,0
1007000,15000,15000,0,15000,3,3,0
1008000,15000,15000,0,15000,2,2,0
1009000,15000,15000,0,15000,0,0,0
1010000,15000,15000,0,15000,3,3,0
1011000,15000,15000,0,15000,0,0,0
1012000,15000,15000,0,15000,0,0,0
1013000,15000,15000,0,15000,0,0,0
1014000,15000,15000,0,15000,2,2,0
1015000,15000,15000,0,15000,1,1,0
1016000,15000,15000,0,15000,2,2,0
1017000,15000,15000,0,15000,1,1,0
1018000,15000,15000,0,15000,0,0,0
1019000,15000,15000,0,15000,4,4,0
1020000,15000,15000,0,15000,0,0,0
1021000,15000,15000,0,15000,2,2,0
1022000,15000,15000,0,15000,1,1,0
1023000,15000,15000,0,15000,1,1,0
1024000,15000,15000,0,15000,3,3,0
1025000,15000,15000,0,15000,2,2,0
1026000,15000,15000,0,15000,2,2,0
1027000,15000,15000,0,15000,1,1,0
1028000,15000,15000,0,15000,0,0,0
1029000,15000,15000,0,15000,1,1,0
1030000,15000,15000,0,15000,0,0,0
1031000,15000,15000,0,15000,0,0,0
1032000,15000,15000,0,15000,2,2,0
1033000,15000,15000,0,15000,0,0,0
1034000,15000,15000,0,15000,0,0,0
1035000,15000,15000,0,15000,1,1,0
1036000,15000,15000,0,15000,0,0,0
1037000,15000,15000,0,15000,2,2,0
1038000,15000,15000,0,15000,0,0,0
1039000,15000,15000,0,15000,1,1,0
1040000,15000,15000,0,15000,0,0,0
1041000,15000,15000,0,15000,0,0,0
1042000,15000,15000,0,15000,0,0,0
1043000,15000,15000,0,15000,0,0,0
1044000,15000,15000,0,15000,2,2,0
1045000,15000,15000,0,15000,1,1,0
1046000,15000,15000,0,15000,3,3,0
1047000,15000,15000,0,15000,1,1,0
1048000,15000,15000,0,15000,1,1,0
1049000,15000,15000,0,15000,1,1,0
1050000,15000,15000,0,15000,2,2,0
1051000,15000,15000,0,15000,1,1,0
1052000,15000,15000,0,15000,1,1,0
1053000,15000,15000,0,15000,1,1,0
1054000,15000,15000,0,15000,1,1,0
1055000,15000,15000,1,14999,2,1,0
1056000,15000,15000,0,15000,0,1,0
1057000,15000,15000,0,15000,1,1,0
1058000,15000,15000,0,15000,0,0,0
1059000,15000,15000,0,15000,1,1,0
1060000,15000,15000,0,15000,0,0,0
1061000,15000,15000,0,15000,3,3,0
1062000,15000,15000,0,15000,1,1,0
1063000,15000,15000,1,14999,2,1,0
1064000,15000,15000,0,15000,1,2,0
1065000,15000,15000,0,15000,0,0,0
1066000,15000,15000,0,15000,2,2,0
1067000,15000,15000,0,15000,0,0,0
1068000,15000,15000,0,15000,0,0,0
1069000,15000,15000,0,15000,1,1,0
1070000,15000,15000,0,15000,2,2,0
1071000,15000,15000,0,15000,0,0,0
1072000,15000,15000,0,15000,1,1,0
1073000,15000,15000,0,15000,3,3,0
1074000,15000,15000,0,15000,1,1,0
1075000,15000,15000,0,15000,1,1,0
1076000,15000,15000,0,15000,0,0,0
1077000,15000,15000,0,15000,2,2,0
1078000,15000,15000,0,15000,0,0,0
1079000,15000,15000,0,15000,3,3,0
1080000,15000,15000,0,15000,2,2,0
1081000,15000,15000,0,15000,1,1,0
1082000,15000,15000,0,15000,0,0,0
1083000,15000,15000,0,15000,2,2,0
1084000,15000,15000,0,15000,1,1,0
1085000,15000,15000,0,15000,0,0,0
1086000,15000,15000,0,15000,0,0,0
1087000,15000,15000,0,15000,2,2,0
1088000,15000,15000,0,15000,1,1,0
1089000,15000,15000,0,15000,2,2,0
1090000,15000,15000,0,15000,1,1,0
1091000,15000,15000,0,15000,3,3,0
1092000,15000,15000,0,15000,3,3,0
1093000,15000,15000,0,15000,0,0,0
1094000,15000,15000,0,15000,0,0,0
1095000,15000,15000,0,15000,1,1,0
1096000,15000,15000,0,15000,0,0,0
1097000,15000,15000,0,15000,0,0,0
1098000,15000,15000,0,15000,0,0,0
1099000,15000,15000,0,15000,0,0,0
1100000,15000,15000,0,15000,1,1,0
1101000,15000,15000,0,15000,0,0,0
1102000,15000,15000,0,15000,0,0,0
1103000,15000,15000,0,15000,0,0,0
1104000,15000,15000,0,15000,2,2,0
1105000,15000,15000,1,14999,1,0,0
1106000,15000,15000,0,15000,0,1,0
1107000,15000,15000,0,15000,1,1,0
1108000,15000,15000,0,15000,2,2,0
1109000,15000,15000,0,15000,1,1,0
1110000,15000,15000,0,15000,0,0,0
1111000,15000,15000,0,15000,1,1,0
1112000,15000,15000,0,15000,1,1,0
1113000,15000,15000,0,15000,0,0,0
1114000,15000,15000,0,15000,1,1,0
1115000,15000,15000,0,15000,1,1,0
1116000,15000,15000,0,15000,0,0,0
1117000,15000,15000,0,15000,0,0,0
1118000,15000,15000,0,15000,1,1,0
1119000,15000,15000,0,15000,0,0,0
1120000,15000,15000,0,15000,2,2,0
1121000,15000,15000,0,15000,0,0,0
1122000,15000,15000,0,15000,1,1,0
1123000,15000,15000,0,15000,2,2,0
1124000,15000,15000,0,15000,1,1,0
1125000,15000,15000,0,15000,0,0,0
1126000,15000,15000,0,15000,1,1,0
1127000,15000,15000,0,15000,2,2,0
1128000,15000,15000,0,15000,2,2,0
1129000,15000,15000,0,15000,2,2,0
1130000,15000,15000,0,15000,0,0,0
1131000,15000,15000,0,15000,1,1,0
1132000,15000,15000,0,15000,0,0,0
1133000,15000,15000,0,15000,1,1,0
1134000,15000,15000,0,15000,0,0,0
1135000,15000,15000,0,15000,1,1,0
1136000,15000,15000,0,15000,0,0,0
1137000,15000,15000,0,15000,1,1,0
1138000,15000,15000,0,15000,3,3,0
1139000,15000,15000,0,15000,1,1,0
1140000,15000,15000,0,15000,0,0,0
1141000,15000,15000,0,15000,1,1,0
1142000,15000,15000,0,15000,0,0,0
1143000,15000,15000,0,15000,1,1,0
1144000,15000,15000,0,15000,1,1,0
1145000,15000,15000,0,15000,0,0,0
1146000,15000,15000,0,15000,0,0,0
1147000,15000,15000,0,15000,3,3,0
1148000,15000,15000,0,15000,0,0,0
1149000,15000,15000,0,15000,1,1,0
1150000,15000,15000,0,15000,2,2,0
1151000,15000,15000,0,15000,1,1,0
1152000,15000,15000,0,15000,0,0,0
1153000,15000,15000,0,15000,0,0,0
1154000,15000,15000,0,15000,1,1,0
1155000,15000,15000,0,15000,1,1,0
1156000,15000,15000,0,15000,1,1,0
1157000,15000,15000,0,15000,0,0,0
1158000,15000,15000,0,15000,2,2,0
1159000,15000,15000,0,15000,0,0,0
1160000,15000,15000,0,15000,1,1,0
1161000,15000,15000,0,15000,0,0,0
1162000,15000,15000,0,15000,0,0,0
1163000,15000,15000,0,15000,0,0,0
1164000,15000,15000,0,15000,2,2,0
1165000,15000,15000,0,15000,1,1,0
1166000,15000,15000,0,15000,1,1,0
1167000,15000,15000,0,15000,1,1,0
1168000,15000,15000,0,15000,2,2,0
1169000,15000,15000,0,15000,0,0,0
1170000,15000,15000,0,15000,0,0,0
1171000,15000,15000,0,15000,1,1,0
1172000,15000,15000,0,15000,0,0,0
1173000,15000,15000,0,15000,0,0,0
1174000,15000,15000,0,15000,0,0,0
1175000,15000,15000,0,15000,0,0,0
1176000,15000,15000,0,15000,1,1,0
1177000,15000,15000,0,15000,1,1,0
1178000,15000,15000,0,15000,0,0,0
1179000,15000,15000,0,15000,1,1,0
1180000,15000,15000,0,15000,0,0,0
1181000,15000,15000,0,15000,1,1,0
1182000,15000,15000,0,15000,0,0,0
1183000,15000,15000,0,15000,0,0,0
1184000,15000,15000,0,15000,2,2,0
1185000,15000,15000,0,15000,1,1,0
1186000,15000,15000,0,15000,1,1,0
1187000,15000,15000,0,15000,0,0,0
1188000,15000,15000,0,15000,1,1,0
1189000,15000,15000,0,15000,1,1,0
1190000,15000,15000,0,15000,0,0,0
1191000,15000,15000,0,15000,2,2,0
